Cow,Action,Amount,ID0,Card0,Money0,Wager0,Alive0,ID1,Card1,Money1,Wager1,Alive1,ID2,Card2,Money2,Wager2,Alive2,ID3,Card3,Money3,Wager3,Alive3,ID4,Card4,Money4,Wager4,Alive4,ID5,Card5,Money5,Wager5,Alive5
1,CALL,0,0,0,0,0,0,1,0,3614,512,1,2,0,0,0,0,3,9,2385,512,1,4,0,0,0,0,5,0,0,0,0
3,WAGER,1024,0,0,0,0,0,1,1,3614,512,1,2,0,0,0,0,3,0,2385,512,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3614,512,1,2,0,0,0,0,3,9,2385,1024,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,4,2590,512,1,2,0,0,0,0,3,0,3409,512,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,2590,512,1,2,0,0,0,0,3,12,3409,512,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,2078,1024,1,2,0,0,0,0,3,4,3921,1024,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,11,2078,1024,1,2,0,0,0,0,3,0,3921,1024,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,5,3102,1024,1,2,0,0,0,0,3,0,2897,1024,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3102,1024,1,2,0,0,0,0,3,2,2897,1024,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,4126,1024,1,2,0,0,0,0,3,12,1873,1024,1,4,0,0,0,0,5,0,0,0,0
3,CALL,0,0,0,0,0,0,1,9,4126,1024,1,2,0,0,0,0,3,0,1873,1024,1,4,0,0,0,0,5,0,0,0,0
3,WAGER,2048,0,0,0,0,0,1,3,3102,1024,1,2,0,0,0,0,3,0,2897,1024,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,3102,1024,1,2,0,0,0,0,3,6,2897,2048,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,1054,1024,1,2,0,0,0,0,3,7,4945,1024,1,4,0,0,0,0,5,0,0,0,0
3,WAGER,2048,0,0,0,0,0,1,1,1054,1024,1,2,0,0,0,0,3,0,4945,1024,1,4,0,0,0,0,5,0,0,0,0
1,CALL,0,0,0,0,0,0,1,0,1054,1024,1,2,0,0,0,0,3,7,4945,2048,1,4,0,0,0,0,5,0,0,0,0
